!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Reaction' name='Reaction' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,,,,,,,,,
!Name,!ID,!ReactionFormula,!IsComplete,!IsReversible,!IsInEquilibrium,!IsExchangeReaction,!IsNonEnzymatic,!BuildReaction,!BuildEnzyme,!BuildEnzymeProduction,!SBML:fbc:GeneAssociation,!SBML:fbc:LowerBound,!SBML:fbc:UpperBound
EX_9__cis__retfa_e,R_EX_9__cis__retfa_e,M_9__cis__retfa_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_CLPND_e,R_EX_CLPND_e,M_clpnd_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_Lcystin_e,R_EX_Lcystin_e,M_Lcystin_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_Rtotal_e,R_EX_Rtotal_e,M_Rtotal_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_Rtotal2_e,R_EX_Rtotal2_e,M_Rtotal2_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_Rtotal3_e,R_EX_Rtotal3_e,M_Rtotal3_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_Tyr__ggn_e,R_EX_Tyr__ggn_e,M_Tyr__ggn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_abt_e,R_EX_abt_e,M_abt_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_ac_e,R_EX_ac_e,M_ac_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_acac_e,R_EX_acac_e,M_acac_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_acald_e,R_EX_acald_e,M_acald_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_acetone_e,R_EX_acetone_e,M_acetone_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,R_EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,M_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e,R_EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e,M_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_acgam_e,R_EX_acgam_e,M_acgam_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_ach_e,R_EX_ach_e,M_ach_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_acn13acngalgbside_hs_e,R_EX_acn13acngalgbside_hs_e,M_acn13acngalgbside_hs_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_acn23acngalgbside_hs_e,R_EX_acn23acngalgbside_hs_e,M_acn23acngalgbside_hs_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_acnacngal14acglcgalgluside_hs_e,R_EX_acnacngal14acglcgalgluside_hs_e,M_acnacngal14acglcgalgluside_hs_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_acnacngalgbside_hs_e,R_EX_acnacngalgbside_hs_e,M_acnacngalgbside_hs_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_acngalacglcgal14acglcgalgluside_hs_e,R_EX_acngalacglcgal14acglcgalgluside_hs_e,M_acngalacglcgal14acglcgalgluside_hs_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_ade_e,R_EX_ade_e,M_ade_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_adn_e,R_EX_adn_e,M_adn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_adp,R_EX_adp,M_adp_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_adprbp_e,R_EX_adprbp_e,M_adprbp_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_adprib_e,R_EX_adprib_e,M_adprib_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_adrn_e,R_EX_adrn_e,M_adrn_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_adrnl_e,R_EX_adrnl_e,M_adrnl_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
EX_aflatoxin_e,R_EX_aflatoxin_e,M_aflatoxin_e <=> ,False,False,False,False,False,False,False,False,,cobra_0_bound,cobra_default_ub
