!!ObjTables schema='SBtab' type='Data' tableFormat='row' class='Gene' name='Gene' date='2020-07-18 12:20:25' objTablesVersion='1.0.5' document='MODEL1507180055',,,,,
!ID,!SBML:fbc:ID,!SBML:fbc:Name,!SBML:fbc:GeneProduct,!SBML:fbc:GeneAssociation,!SBML:fbc:Label
G_17161,G_17161,17161,True,False,17161
G_17250,G_17250,17250,True,False,17250
G_17252,G_17252,17252,True,False,17252
G_17254,G_17254,17254,True,False,17254
G_17308,G_17308,17308,True,False,17308
G_17309,G_17309,17309,True,False,17309
G_17423,G_17423,17423,True,False,17423
G_17436,G_17436,17436,True,False,17436
G_17448,G_17448,17448,True,False,17448
G_17449,G_17449,17449,True,False,17449
G_17523,G_17523,17523,True,False,17523
G_17711,G_17711,17711,True,False,17711
G_17716,G_17716,17716,True,False,17716
G_17717,G_17717,17717,True,False,17717
G_17718,G_17718,17718,True,False,17718
G_17719,G_17719,17719,True,False,17719
G_17720,G_17720,17720,True,False,17720
G_17721,G_17721,17721,True,False,17721
G_17768,G_17768,17768,True,False,17768
G_17769,G_17769,17769,True,False,17769
G_17850,G_17850,17850,True,False,17850
G_17855,G_17855,17855,True,False,17855
G_17939,G_17939,17939,True,False,17939
G_17991,G_17991,17991,True,False,17991
G_17992,G_17992,17992,True,False,17992
G_17993,G_17993,17993,True,False,17993
G_17995,G_17995,17995,True,False,17995
G_18010,G_18010,18010,True,False,18010
G_18102,G_18102,18102,True,False,18102
G_18103,G_18103,18103,True,False,18103
G_18113,G_18113,18113,True,False,18113
G_18115,G_18115,18115,True,False,18115
G_18125,G_18125,18125,True,False,18125
G_18126,G_18126,18126,True,False,18126
G_18127,G_18127,18127,True,False,18127
G_18160,G_18160,18160,True,False,18160
G_18194,G_18194,18194,True,False,18194
G_18195,G_18195,18195,True,False,18195
G_18242,G_18242,18242,True,False,18242
G_18263,G_18263,18263,True,False,18263
G_18293,G_18293,18293,True,False,18293
G_18408,G_18408,18408,True,False,18408
G_18416,G_18416,18416,True,False,18416
G_18451,G_18451,18451,True,False,18451
G_18452,G_18452,18452,True,False,18452
G_18453,G_18453,18453,True,False,18453
G_18472,G_18472,18472,True,False,18472
G_18475,G_18475,18475,True,False,18475
G_18476,G_18476,18476,True,False,18476
G_18477,G_18477,18477,True,False,18477
G_18478,G_18478,18478,True,False,18478
G_18534,G_18534,18534,True,False,18534
G_18563,G_18563,18563,True,False,18563
G_18573,G_18573,18573,True,False,18573
G_18574,G_18574,18574,True,False,18574
G_18575,G_18575,18575,True,False,18575
G_18576,G_18576,18576,True,False,18576
G_18578,G_18578,18578,True,False,18578
G_18582,G_18582,18582,True,False,18582
G_18583,G_18583,18583,True,False,18583
G_18584,G_18584,18584,True,False,18584
G_18587,G_18587,18587,True,False,18587
G_18588,G_18588,18588,True,False,18588
G_18597,G_18597,18597,True,False,18597
G_18598,G_18598,18598,True,False,18598
G_18605,G_18605,18605,True,False,18605
G_18606,G_18606,18606,True,False,18606
G_18618,G_18618,18618,True,False,18618
G_18639,G_18639,18639,True,False,18639
G_18640,G_18640,18640,True,False,18640
G_18641,G_18641,18641,True,False,18641
G_18642,G_18642,18642,True,False,18642
G_18648,G_18648,18648,True,False,18648
G_18655,G_18655,18655,True,False,18655
G_18663,G_18663,18663,True,False,18663
G_18670,G_18670,18670,True,False,18670
G_18674,G_18674,18674,True,False,18674
G_18700,G_18700,18700,True,False,18700
G_18701,G_18701,18701,True,False,18701
G_18704,G_18704,18704,True,False,18704
G_18705,G_18705,18705,True,False,18705
G_18706,G_18706,18706,True,False,18706
G_18707,G_18707,18707,True,False,18707
G_18708,G_18708,18708,True,False,18708
G_18709,G_18709,18709,True,False,18709
G_18710,G_18710,18710,True,False,18710
G_18711,G_18711,18711,True,False,18711
G_18717,G_18717,18717,True,False,18717
G_18718,G_18718,18718,True,False,18718
G_18719,G_18719,18719,True,False,18719
G_18720,G_18720,18720,True,False,18720
G_18746,G_18746,18746,True,False,18746
G_18770,G_18770,18770,True,False,18770
G_18795,G_18795,18795,True,False,18795
G_18796,G_18796,18796,True,False,18796
G_18797,G_18797,18797,True,False,18797
G_18798,G_18798,18798,True,False,18798
G_18799,G_18799,18799,True,False,18799
G_18802,G_18802,18802,True,False,18802
G_18803,G_18803,18803,True,False,18803
G_18805,G_18805,18805,True,False,18805
G_18806,G_18806,18806,True,False,18806
G_18822,G_18822,18822,True,False,18822
G_18946,G_18946,18946,True,False,18946
G_18947,G_18947,18947,True,False,18947
G_18948,G_18948,18948,True,False,18948
G_19012,G_19012,19012,True,False,19012
G_19025,G_19025,19025,True,False,19025
G_19044,G_19044,19044,True,False,19044
G_19125,G_19125,19125,True,False,19125
G_19139,G_19139,19139,True,False,19139
G_19193,G_19193,19193,True,False,19193
G_19210,G_19210,19210,True,False,19210
G_19211,G_19211,19211,True,False,19211
G_19215,G_19215,19215,True,False,19215
G_192156,G_192156,192156,True,False,192156
G_192166,G_192166,192166,True,False,192166
G_192185,G_192185,192185,True,False,192185
G_19223,G_19223,19223,True,False,19223
G_19224,G_19224,19224,True,False,19224
G_19225,G_19225,19225,True,False,19225
G_192289,G_192289,192289,True,False,192289
G_19286,G_19286,19286,True,False,19286
G_19309,G_19309,19309,True,False,19309
G_19378,G_19378,19378,True,False,19378
G_195646,G_195646,195646,True,False,195646
G_19682,G_19682,19682,True,False,19682
G_19703,G_19703,19703,True,False,19703
G_19743,G_19743,19743,True,False,19743
G_19895,G_19895,19895,True,False,19895
G_20014,G_20014,20014,True,False,20014
G_20133,G_20133,20133,True,False,20133
G_20135,G_20135,20135,True,False,20135
G_20229,G_20229,20229,True,False,20229
